lec_id,sales,start,end,duration,weekends,have_black_friday,have_boxing
1,173,2013-01-08,2013-01-28,20,6,FALSE,FALSE
2,196,2013-01-29,2013-02-18,20,5,FALSE,FALSE
3,195,2013-02-19,2013-03-03,12,4,FALSE,FALSE
4,210,2013-03-04,2013-03-18,14,4,FALSE,FALSE
5,291,2013-03-19,2013-03-31,12,4,FALSE,FALSE
6,170,2013-04-01,2013-04-14,13,4,FALSE,FALSE
7,252,2013-04-15,2013-04-29,14,4,FALSE,FALSE
8,520,2013-04-30,2013-05-20,20,6,FALSE,FALSE
9,164,2013-05-21,2013-06-03,13,4,FALSE,FALSE
10,135,2013-06-04,2013-06-17,13,4,FALSE,FALSE
11,153,2013-06-18,2013-07-01,13,4,FALSE,FALSE
12,322,2013-07-02,2013-07-17,15,4,FALSE,FALSE
13,298,2013-07-18,2013-08-12,25,8,FALSE,FALSE
14,133,2013-08-13,2013-08-28,15,4,FALSE,FALSE
15,192,2013-08-29,2013-09-15,17,6,FALSE,FALSE
16,198,2013-09-16,2013-09-29,13,4,FALSE,FALSE
17,991,2013-09-30,2013-11-04,35,10,FALSE,FALSE
18,1244,2013-11-05,2013-12-09,34,10,TRUE,FALSE
19,855,2013-12-10,2014-01-06,27,8,FALSE,TRUE
20,291,2014-01-07,2014-01-23,16,4,FALSE,FALSE
21,143,2014-01-24,2014-02-03,10,4,FALSE,FALSE
22,253,2014-02-04,2014-02-17,13,4,FALSE,FALSE
23,385,2014-02-18,2014-03-02,12,4,FALSE,FALSE
